Collecting time,X,Y,Z,
32872,-530,-364,-368,
32912,-538,-410,-357,
32952,-551,-486,-314,
32992,-563,-554,-269,
33033,-569,-599,-202,
33073,-579,-618,-133,
33113,-584,-612,-88,
33153,-588,-597,-57,
33193,-588,-580,-24,
33233,-589,-563,-8,
33273,-592,-545,4,
33313,-592,-526,12,
33353,-594,-513,17,
33393,-596,-483,29,
33433,-593,-456,43,
33473,-591,-439,57,
33513,-589,-445,58,
33553,-587,-431,65,
33593,-584,-420,61,
33633,-584,-401,65,
33673,-580,-375,69,
33713,-581,-339,55,
33753,-584,-332,34,
33793,-583,-327,32,
33833,-582,-317,31,
33873,-585,-313,-1,
33913,-588,-311,-29,
33953,-593,-322,-52,
33993,-593,-340,-64,
34034,-593,-351,-81,
34074,-596,-375,-100,
34114,-594,-396,-118,
34154,-591,-421,-140,
34194,-589,-446,-151,
34234,-584,-472,-162,
34274,-581,-493,-162,
34314,-578,-512,-159,
34354,-578,-522,-149,
34394,-573,-553,-137,
34434,-566,-574,-124,
34474,-565,-587,-114,
34514,-570,-580,-95,
34554,-568,-582,-76,
34594,-565,-591,-62,
34634,-558,-606,-41,
34674,-556,-613,-24,
34714,-551,-623,-11,
34754,-545,-619,27,
34794,-537,-605,74,
34834,-521,-598,115,
34874,-507,-606,137,
34914,-496,-590,166,
34954,-492,-525,205,
34994,-474,-422,246,
35035,-459,-357,261,
35075,-444,-312,271,
35115,-413,-234,272,
35155,-384,-149,255,
35195,-359,-78,221,
35235,-341,-37,196,
35275,-329,-4,169,
35315,-318,25,139,
35355,-307,48,110,
35395,-294,66,74,
35435,-282,83,49,
35475,-270,96,8,
35515,-260,108,-36,
35555,-249,114,-83,
35595,-238,113,-128,
35635,-221,112,-163,
35675,-207,105,-195,
35715,-230,93,-214,
35755,-237,84,-233,
35795,-220,77,-261,
35835,-216,50,-304,
35875,-199,10,-371,
35915,-186,-51,-429,
35955,-188,-109,-472,
35995,-204,-124,-474,
36036,-212,-170,-498,
36076,-195,-268,-529,
36116,-177,-366,-547,
36156,-159,-428,-552,
36196,-135,-590,-517,
36236,-106,-673,-482,
36276,-77,-701,-462,
36316,-43,-729,-435,
36356,-24,-751,-411,
36396,-12,-765,-396,
36436,0,-787,-369,
36476,8,-806,-344,
36516,7,-816,-331,
36556,10,-831,-308,
36596,0,-854,-280,
36636,-14,-884,-232,
36676,-32,-906,-175,
36716,-50,-920,-141,
36756,-66,-925,-108,
36796,-81,-930,-76,
36836,-103,-930,-21,
36876,-115,-907,63,
36916,-122,-886,122,
36956,-129,-860,169,
36996,-142,-837,202,
37037,-154,-818,221,
37077,-166,-783,255,
37117,-162,-739,294,
37157,-161,-697,320,
37197,-161,-599,365,
37237,-160,-545,384,
37277,-161,-524,387,
37317,-167,-496,394,
37357,-170,-467,398,
37397,-168,-449,397,
37437,-167,-416,399,
37477,-177,-376,401,
37517,-176,-348,400,
37557,-171,-315,398,
37597,-167,-283,393,
37637,-175,-257,388,
37677,-182,-241,380,
37717,-195,-220,372,
37757,-212,-190,358,
37797,-233,-133,328,
37837,-252,-78,293,
37877,-271,-30,244,
37917,-288,8,193,
37957,-306,47,124,
37997,-320,77,42,
38038,-328,84,-1,
38078,-337,87,-39,
38118,-333,90,-72,
38158,-338,88,-87,
38198,-351,81,-112,
38238,-358,69,-167,
38278,-361,48,-222,
38318,-365,23,-272,
38358,-366,3,-303,
38398,-371,-19,-336,
38438,-377,-51,-363,
38478,-380,-103,-408,
38518,-384,-221,-469,
38558,-385,-248,-477,
38598,-381,-274,-491,
38638,-375,-307,-502,
38678,-387,-334,-500,
38718,-384,-352,-504,
38758,-358,-372,-524,
