Collecting time,X,Y,Z,
26026,-231,-379,411,
26066,-284,-388,398,
26106,-357,-345,364,
26146,-443,-281,296,
26186,-475,-198,238,
26226,-453,-74,181,
26266,-395,34,137,
26306,-294,119,122,
26346,-156,171,130,
26386,-2,117,201,
26426,58,-50,306,
26466,11,-170,349,
26506,-38,-227,364,
26546,-60,-218,364,
26586,-77,-196,364,
26626,-96,-153,354,
26666,-129,-102,334,
26706,-179,-60,310,
26746,-238,-6,266,
26786,-299,42,199,
26826,-370,60,125,
26866,-433,60,48,
26906,-474,45,-57,
26946,-495,-5,-193,
26986,-481,-66,-310,
27027,-444,-126,-397,
27067,-402,-184,-458,
27107,-362,-241,-507,
27147,-338,-306,-531,
27187,-326,-402,-549,
27227,-323,-539,-544,
27267,-281,-694,-513,
27307,-193,-858,-436,
27347,-14,-912,-370,
27387,177,-819,-312,
27427,293,-614,-242,
27467,314,-442,-173,
27507,307,-324,-85,
27547,273,-222,0,
27587,216,-150,99,
27627,152,-113,174,
27667,74,-99,248,
27707,-14,-90,295,
27747,-88,-100,321,
27787,-156,-140,353,
27827,-211,-175,361,
27867,-276,-168,344,
27907,-336,-132,304,
27947,-372,-69,240,
27987,-369,0,176,
28027,-306,76,119,
28067,-224,126,88,
28107,-110,143,90,
28147,28,111,112,
28187,142,20,158,
28227,214,-158,234,
28267,154,-322,310,
28307,51,-398,356,
28347,-15,-385,374,
28387,-59,-323,386,
28427,-92,-249,383,
28467,-124,-177,372,
28507,-158,-112,354,
28547,-209,-52,319,
28587,-264,6,273,
28627,-333,51,201,
28667,-410,71,99,
28707,-461,61,-22,
28747,-482,24,-148,
28787,-477,-29,-259,
28827,-445,-86,-353,
28867,-406,-142,-424,
28907,-368,-203,-482,
28947,-357,-283,-511,
28987,-348,-385,-535,
29028,-324,-519,-541,
29068,-245,-669,-534,
29108,-116,-810,-476,
29148,74,-853,-378,
29188,261,-726,-257,
29228,327,-519,-178,
29268,320,-371,-112,
29308,290,-265,-24,
29348,243,-176,56,
29388,177,-115,136,
29428,102,-82,207,
29468,22,-67,259,
29508,-58,-68,292,
29548,-137,-75,312,
29588,-217,-104,329,
29628,-293,-133,322,
29668,-358,-137,293,
29708,-407,-141,260,
29748,-465,-137,196,
29788,-500,-121,132,
29828,-486,-52,86,
29868,-412,71,-53,
29908,-331,117,-180,
29948,-241,129,-280,
29988,-135,137,-323,
30029,-22,119,-345,
30069,60,123,-255,
30109,35,133,-139,
30149,-25,123,-59,
30189,-59,113,-30,
30229,-84,111,9,
30269,-122,101,80,
30309,-201,90,111,
30349,-293,67,117,
30389,-385,64,-3,
30429,-476,3,-127,
30469,-563,-100,6,
